sophTimes,seniorTimes
9:30.00,9:12.50
9:54.94,9:12.57
9:54.54,9:12.62
10:00.96,9:12.90
10:00.11,9:12.94
9:41.08,9:13.21
10:16.41,9:13.25
10:08.71,9:13.33
9:22.32,9:13.38
9:42.55,9:13.39
9:36.45,9:13.62
9:39.61,9:13.71
9:37.69,8:56.02
9:17.69,9:14.09
9:38.23,9:14.16
9:52.72,9:14.25
9:59.58,9:14.27
9:30.27,9:14.31
9:41.83,9:14.37
9:52.51,9:14.40
10:21.80,9:14.58
9:36.41,9:14.60
9:49.35,9:14.64
9:55.14,9:14.65
10:09.28,9:14.86
9:48.28,9:14.89
9:42.04,9:15.05
9:38.33,9:15.05
9:28.56,9:15.07
9:20.91,9:15.35
9:59.03,9:15.39
9:21.99,9:15.56
9:35.59,9:15.60
9:50.94,9:15.75
9:27.49,9:15.76
10:05.23,9:15.78
10:07.72,9:15.90
9:21.58,9:16.16
10:30.63,9:16.16
9:38.41,9:16.25
10:14.17,9:16.33
9:16.58,9:16.34
9:55.75,9:16.38
9:45.05,9:16.40
9:39.48,9:16.48
9:17.88,9:16.53
10:15.90,9:16.53
9:42.89,9:16.57
9:37.59,9:16.57
9:46.67,9:16.61
10:00.09,9:16.88
9:43.07,9:16.91
9:46.14,9:17.22
10:09.14,9:17.25
9:43.94,9:17.32
9:49.02,9:17.36
9:32.44,9:17.49
9:43.05,9:17.50
9:59.70,9:17.51
9:39.67,9:17.75
9:31.55,9:17.81
10:01.38,9:17.88
9:36.80,9:17.90
9:23.49,9:17.98
9:41.94,9:18.04
9:59.21,9:18.08
9:29.42,9:18.13
9:21.15,9:18.17
9:39.19,9:18.18
9:29.10,9:18.41
9:49.87,9:18.43
9:30.26,9:18.45
9:45.98,9:18.58
9:39.94,9:18.63
9:35.28,9:18.65
9:46.38,9:18.88
9:33.77,9:18.98
10:08.25,9:19.00
9:25.39,9:19.00
9:50.97,9:19.01
10:36.08,9:19.23
9:53.94,9:19.25
10:13.91,9:19.34
9:56.21,9:19.38
9:38.63,9:19.44
